"scientificName" "plot_id" "year" "occurrenceStatus" "decimalLatitude" "decimalLongitude"
"Ptilium crista-castrensis" 31 1998 "PRESENT" 57.116344 -3.829717
"Rhytidiadelphus loreus" 31 1998 "PRESENT" 57.116344 -3.829717
"Hypnum" 31 1998 "PRESENT" 57.116344 -3.829717
"Plagiothecium" 31 1998 "PRESENT" 57.116344 -3.829717
"Calluna vulgaris" 33 1998 "PRESENT" 57.116344 -3.829717
"Dactylorhiza maculata subsp. ericetorum" 33 1998 "PRESENT" 57.116344 -3.829717
"Erica tetralix" 33 1998 "PRESENT" 57.116344 -3.829717
"Geranium robertianum" 33 1998 "PRESENT" 57.116344 -3.829717
"Molinia caerulea" 33 1998 "PRESENT" 57.116344 -3.829717
"Potentilla erecta" 33 1998 "PRESENT" 57.116344 -3.829717
"Trichophorum cespitosum" 33 1998 "PRESENT" 57.116344 -3.829717
"Cladonia furcata" 33 1998 "PRESENT" 57.116344 -3.829717
"Cladonia portentosa" 33 1998 "PRESENT" 57.116344 -3.829717
"Cladonia uncialis" 33 1998 "PRESENT" 57.116344 -3.829717
"Pinus sylvestris" 33 1998 "PRESENT" 57.116344 -3.829717
"Hypnum" 33 1998 "PRESENT" 57.116344 -3.829717
"Blechnum spicant" 34 1998 "PRESENT" 57.116344 -3.829717
"Calluna vulgaris" 34 1998 "PRESENT" 57.116344 -3.829717
"Dactylorhiza maculata subsp. ericetorum" 34 1998 "PRESENT" 57.116344 -3.829717
"Deschampsia flexuosa" 34 1998 "PRESENT" 57.116344 -3.829717
"Erica cinerea" 34 1998 "PRESENT" 57.116344 -3.829717
