"speciesKey","count","common_name","sci_name"
"3033134",333,"Arctic meadow-rue","Thalictrum alpinum"
"3020532",332,"Marsh Cinquefoil","Comarum palustre"
"4276916",332,"Bifid Crestwort","Lophocolea bidentata"
"2687937",329,"Pipes","Equisetum fluviatile"
"2702789",326,"Perennial Quaking Grass","Briza media"
"5238864",326,"Scaly Tooth","Sarcodon squamosus"
"5275012",326,"Bracken","Pteridium aquilinum"
"2998290",325,"Bake-Apple","Rubus chamaemorus"
"2727907",324,"Fewflower Sedge","Carex pauciflora"
"2888310",320,"One-Sided Orthilia","Orthilia secunda"
"2816213",313,"Heartleaf Twayblade","Neottia cordata"
"1911461",310,"Small Heath","Coenonympha pamphilus"
"3117424",309,"Common Daisy","Bellis perennis"
"1340341",308,"Mountain Humble-bee","Bombus monticola"
"2725414",308,"NA","Carex demissa"
"5414995",306,"Digitalis","Digitalis purpurea"
"5054150",305,"NA","Hydropsyche pellucidula"
"5054160",305,"NA","Hydropsyche siltalai"
"2705495",302,"Floating Manna Grass","Glyceria fluitans"
"5354656",302,"Broom","Cytisus scoparius"
"1861395",298,"kentish glory","Endromis versicolora"
"2987999",298,"Meadowsweet","Filipendula ulmaria"
"5301226",296,"Cinnamonspot pondweed","Potamogeton polygonifolius"
"1340298",292,"White tailed bumblebee","Bombus lucorum"
"3120333",291,"Sneezeweed","Achillea ptarmica"
"2704922",290,"Creeping Fescue","Festuca rubra"
"4017779",290,"NA","Pseudathyrium alpestre"
"2679710",289,"Big Shaggy-Moss","Rhytidiadelphus triquetrus"
"2701418",288,"Common Rush","Juncus conglomeratus"
"4470555",287,"NA","Carabus problematicus"
"2913130",286,"Common Marsh Bedstraw","Galium palustre"
"2706465",284,"Velvet Bent","Agrostis canina"
"8179794",283,"heath spotted orchid","Dactylorhiza maculata"
"8890062",283,"common rock-rose","Helianthemum nummularium"
"3712747",282,"slender St. John's-wort","Hypericum pulchrum"
"2876213",280,"Alder","Alnus glutinosa"
"8353146",276,"Purple Mountain Saxifrage","Saxifraga oppositifolia"
"5341511",274,"Bog-Bean","Menyanthes trifoliata"
"5356393",273,"bitter-vetch","Lathyrus linifolius"
"2688393",270,"Common Club Moss","Lycopodium clavatum"
